dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,ngram_range,min_df,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,5,55,4,emotion_aware,1638,410,1-1,2,1.0,0.25,0.675609756097561,0.6756097560975609,0.6818181818181818,0.6585365853658537,0.6699751861042184,0.6755151709897591
liar2_finance,5,55,5,text_only,1640,408,1-2,1,10.0,,0.6691176470588235,0.6691176470588235,0.6927374301675978,0.6078431372549019,0.6475195822454308,0.6678706456261796
liar2_finance,5,55,5,emotion_aware,1640,408,1-2,1,10.0,0.05,0.6691176470588235,0.6691176470588236,0.6864864864864865,0.6225490196078431,0.6529562982005142,0.668398523807517
liar2_finance,6,66,1,text_only,1638,410,1-1,2,0.1,,0.6487804878048781,0.6487804878048781,0.6564102564102564,0.624390243902439,0.64,0.6485714285714286
liar2_finance,6,66,1,emotion_aware,1638,410,1-2,2,1.0,1.0,0.6268292682926829,0.6268292682926829,0.6413043478260869,0.5756097560975609,0.6066838046272494,0.6258477027776618
liar2_finance,6,66,2,text_only,1638,410,1-2,1,0.1,,0.6365853658536585,0.6365853658536585,0.6372549019607843,0.6341463414634146,0.6356968215158925,0.6365832039452941
liar2_finance,6,66,2,emotion_aware,1638,410,1-2,2,0.1,0.05,0.6439024390243903,0.6439024390243903,0.6334841628959276,0.6829268292682927,0.6572769953051644,0.6433593098353233
liar2_finance,6,66,3,text_only,1638,410,1-2,2,1.0,,0.6317073170731707,0.6317073170731707,0.6363636363636364,0.6146341463414634,0.6253101736972705,0.6315999309733356
liar2_finance,6,66,3,emotion_aware,1638,410,1-2,1,1.0,0.05,0.6439024390243903,0.6439024390243901,0.6612021857923497,0.5902439024390244,0.6237113402061856,0.6428741886216114
liar2_finance,6,66,4,text_only,1638,410,1-2,2,1.0,,0.6463414634146342,0.6463414634146342,0.6415094339622641,0.6634146341463415,0.6522781774580336,0.6462383443121433
liar2_finance,6,66,4,emotion_aware,1638,410,1-2,1,1.0,0.05,0.6439024390243903,0.6439024390243903,0.6467661691542289,0.6341463414634146,0.6403940886699507,0.6438685419195165
liar2_finance,6,66,5,text_only,1640,408,1-2,2,1.0,,0.6887254901960784,0.6887254901960784,0.6934673366834171,0.6764705882352942,0.684863523573201,0.6886787351522179
liar2_finance,6,66,5,emotion_aware,1640,408,1-2,1,1.0,0.05,0.678921568627451,0.678921568627451,0.6994535519125683,0.6274509803921569,0.661498708010336,0.6780687013245152
liar2_finance,7,77,1,text_only,1638,410,1-2,1,10.0,,0.6487804878048781,0.648780487804878,0.6648648648648648,0.6,0.6307692307692307,0.6479427549194992
liar2_finance,7,77,1,emotion_aware,1638,410,1-2,1,10.0,0.05,0.6536585365853659,0.6536585365853658,0.6759776536312849,0.5902439024390244,0.6302083333333334,0.652260129969419
liar2_finance,7,77,2,text_only,1638,410,1-2,1,10.0,,0.6341463414634146,0.6341463414634146,0.6328502415458938,0.6390243902439025,0.6359223300970874,0.6341376356367789
liar2_finance,7,77,2,emotion_aware,1638,410,1-2,1,10.0,0.05,0.6682926829268293,0.6682926829268293,0.6733668341708543,0.6536585365853659,0.6633663366336634,0.6682216298552932
liar2_finance,7,77,3,text_only,1638,410,1-2,2,1.0,,0.6536585365853659,0.6536585365853659,0.6507177033492823,0.6634146341463415,0.6570048309178744,0.6536255681682968
liar2_finance,7,77,3,emotion_aware,1638,410,1-2,2,1.0,0.05,0.6585365853658537,0.6585365853658537,0.6570048309178744,0.6634146341463415,0.6601941747572816,0.6585284599276604
liar2_finance,7,77,4,text_only,1638,410,1-2,1,0.1,,0.697560975609756,0.697560975609756,0.7035175879396985,0.6829268292682927,0.693069306930693,0.697496191926885
liar2_finance,7,77,4,emotion_aware,1638,410,1-2,2,1.0,0.1,0.6853658536585366,0.6853658536585365,0.6844660194174758,0.6878048780487804,0.6861313868613139,0.6853639819392144
liar2_finance,7,77,5,text_only,1640,408,1-2,2,1.0,,0.6078431372549019,0.607843137254902,0.6134020618556701,0.5833333333333334,0.5979899497487438,0.6076074150657594
liar2_finance,7,77,5,emotion_aware,1640,408,1-2,1,10.0,0.25,0.6176470588235294,0.6176470588235294,0.6348314606741573,0.553921568627451,0.5916230366492147,0.6160880160204598
liar2_finance,8,88,1,text_only,1638,410,1-2,1,10.0,,0.6487804878048781,0.648780487804878,0.6631016042780749,0.6048780487804878,0.6326530612244898,0.6481022315468243
liar2_finance,8,88,1,emotion_aware,1638,410,1-2,1,1.0,0.05,0.6585365853658537,0.6585365853658536,0.6683937823834197,0.6292682926829268,0.6482412060301508,0.6582438257638905
liar2_finance,8,88,2,text_only,1638,410,1-2,1,10.0,,0.6390243902439025,0.6390243902439023,0.654054054054054,0.5902439024390244,0.6205128205128205,0.6381633870005963
