dataset,repetition,seed,fold,classifier,representation,C,affect_weight,model_variant,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,1,logistic_regression,word_char,1.0,0.1,emotion_aware,0.7024390243902439,0.7024390243902439,0.7024390243902439,0.7024390243902439,0.7024390243902439,0.7024390243902439
liar2_finance,1,11,1,logistic_regression,word_char,1.0,0.25,emotion_aware,0.697560975609756,0.697560975609756,0.69377990430622,0.7073170731707317,0.7004830917874396,0.6975321862878086
liar2_finance,1,11,1,logistic_regression,word_char,1.0,0.5,emotion_aware,0.6902439024390243,0.6902439024390243,0.6839622641509434,0.7073170731707317,0.6954436450839329,0.6901535843285669
liar2_finance,1,11,1,logistic_regression,word_char,1.0,1.0,emotion_aware,0.6926829268292682,0.6926829268292682,0.6872037914691943,0.7073170731707317,0.6971153846153846,0.6926170982482863
liar2_finance,1,11,1,logistic_regression,word_char,10.0,0.0,text_only,0.6658536585365854,0.6658536585365854,0.6634615384615384,0.6731707317073171,0.6682808716707022,0.6658357675306827
liar2_finance,1,11,1,logistic_regression,word_char,10.0,0.05,emotion_aware,0.6707317073170732,0.6707317073170732,0.6682692307692307,0.6780487804878049,0.6731234866828087,0.6707140774937386
liar2_finance,1,11,1,logistic_regression,word_char,10.0,0.1,emotion_aware,0.6804878048780488,0.6804878048780487,0.6761904761904762,0.6926829268292682,0.6843373493975904,0.6804402796370668
liar2_finance,1,11,1,logistic_regression,word_char,10.0,0.25,emotion_aware,0.6878048780487804,0.6878048780487804,0.6824644549763034,0.7024390243902439,0.6923076923076923,0.6877380045696877
liar2_finance,1,11,1,logistic_regression,word_char,10.0,0.5,emotion_aware,0.6878048780487804,0.6878048780487804,0.6824644549763034,0.7024390243902439,0.6923076923076923,0.6877380045696877
liar2_finance,1,11,1,logistic_regression,word_char,10.0,1.0,emotion_aware,0.6829268292682927,0.6829268292682926,0.6777251184834123,0.697560975609756,0.6875,0.6828589108910892
liar2_finance,1,11,1,linear_svm,word,0.1,0.0,text_only,0.6609756097560976,0.6609756097560975,0.65,0.697560975609756,0.6729411764705883,0.6605212211466865
liar2_finance,1,11,1,linear_svm,word,0.1,0.05,emotion_aware,0.6829268292682927,0.6829268292682926,0.676056338028169,0.7024390243902439,0.6889952153110048,0.6828060653669452
liar2_finance,1,11,1,linear_svm,word,0.1,0.1,emotion_aware,0.6829268292682927,0.6829268292682926,0.6777251184834123,0.697560975609756,0.6875,0.6828589108910892
liar2_finance,1,11,1,linear_svm,word,0.1,0.25,emotion_aware,0.6853658536585366,0.6853658536585365,0.680952380952381,0.697560975609756,0.689156626506024,0.6853190539937528
liar2_finance,1,11,1,linear_svm,word,0.1,0.5,emotion_aware,0.6829268292682927,0.6829268292682926,0.6794258373205742,0.6926829268292682,0.6859903381642513,0.6828966469146379
liar2_finance,1,11,1,linear_svm,word,0.1,1.0,emotion_aware,0.675609756097561,0.6756097560975609,0.6714285714285714,0.6878048780487804,0.6795180722891566,0.6755615052803807
liar2_finance,1,11,1,linear_svm,word,1.0,0.0,text_only,0.6439024390243903,0.6439024390243901,0.62882096069869,0.7024390243902439,0.663594470046083,0.6426780640385855
liar2_finance,1,11,1,linear_svm,word,1.0,0.05,emotion_aware,0.651219512195122,0.6512195121951219,0.6383928571428571,0.697560975609756,0.6666666666666666,0.6504688832054561
liar2_finance,1,11,1,linear_svm,word,1.0,0.1,emotion_aware,0.6560975609756098,0.6560975609756097,0.6454545454545455,0.6926829268292682,0.668235294117647,0.6556366344005957
liar2_finance,1,11,1,linear_svm,word,1.0,0.25,emotion_aware,0.6560975609756098,0.6560975609756097,0.6467889908256881,0.6878048780487804,0.6666666666666666,0.6557514693534845
liar2_finance,1,11,1,linear_svm,word,1.0,0.5,emotion_aware,0.6536585365853659,0.6536585365853658,0.6438356164383562,0.6878048780487804,0.6650943396226415,0.6532542405183914
liar2_finance,1,11,1,linear_svm,word,1.0,1.0,emotion_aware,0.6536585365853659,0.6536585365853658,0.6438356164383562,0.6878048780487804,0.6650943396226415,0.6532542405183914
liar2_finance,1,11,1,linear_svm,word,10.0,0.0,text_only,0.6219512195121951,0.6219512195121951,0.6146788990825688,0.6536585365853659,0.6335697399527187,0.6215707641829085
liar2_finance,1,11,1,linear_svm,word,10.0,0.05,emotion_aware,0.6268292682926829,0.6268292682926829,0.6192660550458715,0.6585365853658537,0.6382978723404256,0.6264537220644193
liar2_finance,1,11,1,linear_svm,word,10.0,0.1,emotion_aware,0.6292682926829268,0.6292682926829268,0.6221198156682027,0.6585365853658537,0.6398104265402843,0.6289504394007954
